job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-11,2,contact,4,0,0.46526946107784434,422.3051229999983,367.42919400002575,4.017187999910675,0
hard-11,2,ga,3,0,0.6203592814371257,2198.2610970000387,1950.3298969999887,7.027617999701761,0
hard-11,3,classic,4,0,0.46526946107784434,384.3276300000143,350.8589740000316,1.5902829998522066,0
hard-11,3,contact,3,0,0.6203592814371257,388.3871180000133,337.2810049999971,3.5890590001363307,0
hard-11,3,ga,3,0,0.6203592814371257,2074.2496670000255,1843.4147489999887,6.410154999815859,0
hard-11,4,classic,4,0,0.46526946107784434,370.67670499999076,336.5142450000276,2.1113020001212135,0
hard-11,4,contact,4,0,0.46526946107784434,384.8077840000042,334.14663400000427,5.1566469998215325,0
hard-11,4,ga,4,0,0.46526946107784434,2013.1807520000148,1787.3861780000152,6.672888999455608,0
hard-11,5,classic,4,0,0.46526946107784434,379.951110999973,348.7752519999631,1.5296220000018366,0
hard-11,5,contact,4,0,0.46526946107784434,394.58491099998355,341.9624559999793,3.966081000166014,0
hard-11,5,ga,3,0,0.6203592814371257,2162.398687000037,1940.7643920002156,8.026483000197913,0
hard-12,1,classic,4,0,0.5215221563178295,3778.5476110000163,3668.5014550000196,3.458765000337735,0
hard-12,1,contact,4,0,0.5215221563178295,3730.858176000009,3591.1809169999906,6.6826909997616895,0
hard-12,1,ga,4,0,0.5215221563178295,3778.69687299995,3661.107725000009,5.406063999980688,0
hard-12,2,classic,4,0,0.5215221563178295,3568.69000599999,3466.9356820000103,4.706355999864172,0
hard-12,2,contact,4,0,0.5215221563178295,3679.842903999961,3540.1844549999805,6.676982000062708,0
hard-12,2,ga,4,0,0.5215221563178295,3660.560644000012,3536.653524000023,4.4208150000777096,0
hard-12,3,classic,4,0,0.5215221563178295,3791.8611020000535,3680.8331419999595,4.336317999754101,0
hard-12,3,contact,4,0,0.5215221563178295,3774.7213130000164,3616.4380130000063,6.360659999947529,0
hard-12,3,ga,4,0,0.5215221563178295,3815.7067319999915,3696.454682999989,3.501390000106767,0
hard-12,4,classic,4,0,0.5215221563178295,3644.6177100000205,3533.0487399999984,4.069827999803238,0
hard-12,4,contact,4,0,0.5215221563178295,3757.3580680000014,3625.0085919999983,5.551676999893971,0
